"Step","hopeful-night-223 - eval/Achievements/defeat_skeleton","hopeful-night-223 - eval/Achievements/defeat_skeleton__MIN","hopeful-night-223 - eval/Achievements/defeat_skeleton__MAX"
"0","0","0","0"
"615","0","0","0"
"1231","0","0","0"
"1847","0","0","0"
"2462","0","0","0"
"3078","0","0","0"
"3694","0","0","0"
"4310","0","0","0"
"4926","0","0","0"
"5541","0","0","0"
"6157","0","0","0"
"6773","0","0","0"
"7389","0","0","0"
"8005","0","0","0"
"8620","0","0","0"
"9236","0","0","0"
"9852","0","0","0"
"10467","0","0","0"
"11083","0","0","0"
"11699","0","0","0"
"12315","0","0","0"
"12931","0","0","0"
"13546","0","0","0"
"14162","0","0","0"
"14778","0","0","0"
"15394","0","0","0"
"16010","0","0","0"
"16625","0","0","0"
"17241","0","0","0"
"17857","0","0","0"
"18472","0","0","0"
"19088","0","0","0"
"19704","0","0","0"
"20320","0","0","0"
"20936","0","0","0"
"21551","0","0","0"
"22167","0","0","0"
"22783","0","0","0"
"23399","0.04258943721652031","0.04258943721652031","0.04258943721652031"
"24015","0.0415627583861351","0.0415627583861351","0.0415627583861351"
"24630","0.040518637746572495","0.040518637746572495","0.040518637746572495"
"25246","0.039572615176439285","0.039572615176439285","0.039572615176439285"
"25862","0.03868471831083298","0.03868471831083298","0.03868471831083298"
"26477","0.03785011172294617","0.03785011172294617","0.03785011172294617"
"27093","0.03709198907017708","0.03709198907017708","0.03709198907017708"
"27709","0.036231882870197296","0.036231882870197296","0.036231882870197296"
"28325","0.035473573952913284","0.035473573952913284","0.035473573952913284"
"28941","0.03462604060769081","0.03462604060769081","0.03462604060769081"
"29556","0.033955857157707214","0.033955857157707214","0.033955857157707214"
"30172","0.03325573727488518","0.03325573727488518","0.03325573727488518"
"30788","0.03267974033951759","0.03267974033951759","0.03267974033951759"
"31404","0.03209242597222328","0.03209242597222328","0.03209242597222328"
"32020","0.03144654259085655","0.03144654259085655","0.03144654259085655"
"32635","0.03077870048582554","0.03077870048582554","0.03077870048582554"
"33251","0.03021148033440113","0.03021148033440113","0.03021148033440113"
"33867","0.029700029641389847","0.029700029641389847","0.029700029641389847"
"34482","0.029180040583014488","0.029180040583014488","0.029180040583014488"
"35098","0.028612302616238594","0.028612302616238594","0.028612302616238594"
"35714","0.028129395097494125","0.028129395097494125","0.028129395097494125"
"36330","0.02760905586183071","0.02760905586183071","0.02760905586183071"
"36946","0.027085591107606888","0.027085591107606888","0.027085591107606888"
"37561","0.026702269911766052","0.026702269911766052","0.026702269911766052"
"38177","0.026226067915558815","0.026226067915558815","0.026226067915558815"
"38793","0.025779839605093002","0.025779839605093002","0.025779839605093002"
"39409","0.025348542258143425","0.025348542258143425","0.025348542258143425"
"40025","0.024975024163722992","0.024975024163722992","0.024975024163722992"
"40640","0.024618415161967278","0.024618415161967278","0.024618415161967278"
"41256","0.02422480657696724","0.02422480657696724","0.02422480657696724"
"41872","0.02386065386235714","0.02386065386235714","0.02386065386235714"
"42487","0.023507287725806236","0.023507287725806236","0.023507287725806236"
"43103","0.02313208393752575","0.02313208393752575","0.02313208393752575"
"43719","0.02281021885573864","0.02281021885573864","0.02281021885573864"
"44335","0.022461814805865288","0.022461814805865288","0.022461814805865288"
"44951","0.022114109247922897","0.022114109247922897","0.022114109247922897"
"45566","0.021819768473505974","0.021819768473505974","0.021819768473505974"
"46182","0.021533161401748657","0.021533161401748657","0.021533161401748657"
"46798","0.021276595070958138","0.021276595070958138","0.021276595070958138"
"47414","0.02097315527498722","0.02097315527498722","0.02097315527498722"
"48030","0.020703934133052826","0.020703934133052826","0.020703934133052826"
"48645","0.020379049703478813","0.020379049703478813","0.020379049703478813"
"49261","0.02012072503566742","0.02012072503566742","0.02012072503566742"
"49877","0.019880715757608414","0.019880715757608414","0.019880715757608414"
"50492","0.01961168833076954","0.01961168833076954","0.01961168833076954"
"51108","0.019406171515583992","0.019406171515583992","0.019406171515583992"
"51724","0.019157087430357933","0.019157087430357933","0.019157087430357933"
"52340","0.018928639590740204","0.018928639590740204","0.018928639590740204"
"52956","0.018691588193178177","0.018691588193178177","0.018691588193178177"
"53571","0.01845358870923519","0.01845358870923519","0.01845358870923519"
"54187","0.01823154091835022","0.01823154091835022","0.01823154091835022"
