"Step","hopeful-night-223 - eval/Achievements/wake_up","hopeful-night-223 - eval/Achievements/wake_up__MIN","hopeful-night-223 - eval/Achievements/wake_up__MAX"
"0","100","100","100"
"615","93.67088317871094","93.67088317871094","93.67088317871094"
"1231","63.38028335571289","63.38028335571289","63.38028335571289"
"1847","46.23115539550781","46.23115539550781","46.23115539550781"
"2462","36.01532745361328","36.01532745361328","36.01532745361328"
"3078","31.962024688720703","31.962024688720703","31.962024688720703"
"3694","29.301074981689453","29.301074981689453","29.301074981689453"
"4310","26.218097686767578","26.218097686767578","26.218097686767578"
"4926","23.4468936920166","23.4468936920166","23.4468936920166"
"5541","21.492006301879883","21.492006301879883","21.492006301879883"
"6157","20.257234573364258","20.257234573364258","20.257234573364258"
"6773","19.354839324951172","19.354839324951172","19.354839324951172"
"7389","18.403247833251953","18.403247833251953","18.403247833251953"
"8005","17.33668327331543","17.33668327331543","17.33668327331543"
"8620","16.55011749267578","16.55011749267578","16.55011749267578"
"9236","16.4309024810791","16.4309024810791","16.4309024810791"
"9852","15.682281494140625","15.682281494140625","15.682281494140625"
"10467","15.221579551696777","15.221579551696777","15.221579551696777"
"11083","14.740673065185547","14.740673065185547","14.740673065185547"
"11699","14.396552085876465","14.396552085876465","14.396552085876465"
"12315","14.133986473083496","14.133986473083496","14.133986473083496"
"12931","16.524436950683594","16.524436950683594","16.524436950683594"
"13546","19.837759017944336","19.837759017944336","19.837759017944336"
"14162","22.669490814208984","22.669490814208984","22.669490814208984"
"14778","24.89851188659668","24.89851188659668","24.89851188659668"
"15394","27.774171829223633","27.774171829223633","27.774171829223633"
"16010","29.987531661987305","29.987531661987305","29.987531661987305"
"16625","30.640335083007812","30.640335083007812","30.640335083007812"
"17241","31.174089431762695","31.174089431762695","31.174089431762695"
"17857","32.0067253112793","32.0067253112793","32.0067253112793"
"18472","32.989131927490234","32.989131927490234","32.989131927490234"
"19088","33.17585372924805","33.17585372924805","33.17585372924805"
"19704","34.04580307006836","34.04580307006836","34.04580307006836"
"20320","35.0368537902832","35.0368537902832","35.0368537902832"
"20936","36.380950927734375","36.380950927734375","36.380950927734375"
"21551","37.54045486450195","37.54045486450195","37.54045486450195"
"22167","38.51685333251953","38.51685333251953","38.51685333251953"
"22783","39.35427474975586","39.35427474975586","39.35427474975586"
"23399","39.94889450073242","39.94889450073242","39.94889450073242"
"24015","40.81462860107422","40.81462860107422","40.81462860107422"
"24630","41.81523513793945","41.81523513793945","41.81523513793945"
"25246","42.46141815185547","42.46141815185547","42.46141815185547"
"25862","43.249515533447266","43.249515533447266","43.249515533447266"
"26477","43.906131744384766","43.906131744384766","43.906131744384766"
"27093","44.25074005126953","44.25074005126953","44.25074005126953"
"27709","44.565216064453125","44.565216064453125","44.565216064453125"
"28325","45.40617370605469","45.40617370605469","45.40617370605469"
"28941","46.121883392333984","46.121883392333984","46.121883392333984"
"29556","46.58743667602539","46.58743667602539","46.58743667602539"
"30172","46.95709991455078","46.95709991455078","46.95709991455078"
"30788","47.45098114013672","47.45098114013672","47.45098114013672"
"31404","47.721439361572266","47.721439361572266","47.721439361572266"
"32020","47.767295837402344","47.767295837402344","47.767295837402344"
"32635","47.64542770385742","47.64542770385742","47.64542770385742"
"33251","47.975830078125","47.975830078125","47.975830078125"
"33867","48.23284912109375","48.23284912109375","48.23284912109375"
"34482","48.43886947631836","48.43886947631836","48.43886947631836"
"35098","48.469242095947266","48.469242095947266","48.469242095947266"
"35714","48.52320861816406","48.52320861816406","48.52320861816406"
"36330","48.37106704711914","48.37106704711914","48.37106704711914"
"36946","48.293609619140625","48.293609619140625","48.293609619140625"
"37561","48.43791580200195","48.43791580200195","48.43791580200195"
"38177","48.72803497314453","48.72803497314453","48.72803497314453"
"38793","49.136375427246094","49.136375427246094","49.136375427246094"
"39409","49.45500564575195","49.45500564575195","49.45500564575195"
"40025","49.25074768066406","49.25074768066406","49.25074768066406"
"40640","49.60610580444336","49.60610580444336","49.60610580444336"
"41256","49.903099060058594","49.903099060058594","49.903099060058594"
"41872","49.77332305908203","49.77332305908203","49.77332305908203"
"42487","49.6708984375","49.6708984375","49.6708984375"
"43103","49.988433837890625","49.988433837890625","49.988433837890625"
"43719","50.41058349609375","50.41058349609375","50.41058349609375"
"44335","50.561546325683594","50.561546325683594","50.561546325683594"
"44951","50.950904846191406","50.950904846191406","50.950904846191406"
"45566","51.385555267333984","51.385555267333984","51.385555267333984"
"46182","51.74418640136719","51.74418640136719","51.74418640136719"
"46798","52.212764739990234","52.212764739990234","52.212764739990234"
"47414","52.57969665527344","52.57969665527344","52.57969665527344"
"48030","52.85714340209961","52.85714340209961","52.85714340209961"
"48645","53.31159591674805","53.31159591674805","53.31159591674805"
"49261","53.702213287353516","53.702213287353516","53.702213287353516"
"49877","54.135189056396484","54.135189056396484","54.135189056396484"
"50492","54.324378967285156","54.324378967285156","54.324378967285156"
"51108","54.68659210205078","54.68659210205078","54.68659210205078"
"51724","55.134098052978516","55.134098052978516","55.134098052978516"
"52340","55.53662872314453","55.53662872314453","55.53662872314453"
"52956","55.62616729736328","55.62616729736328","55.62616729736328"
"53571","55.9697380065918","55.9697380065918","55.9697380065918"
"54187","56.35369110107422","56.35369110107422","56.35369110107422"
"54803","56.78500747680664","56.78500747680664","56.78500747680664"
"55419","57.18360137939453","57.18360137939453","57.18360137939453"
"56035","57.485450744628906","57.485450744628906","57.485450744628906"
"56650","57.8534049987793","57.8534049987793","57.8534049987793"
"57266","58.25862121582031","58.25862121582031","58.25862121582031"
"57882","58.726375579833984","58.726375579833984","58.726375579833984"
"58497","59.106990814208984","59.106990814208984","59.106990814208984"
"59113","59.363014221191406","59.363014221191406","59.363014221191406"
"59729","59.71306228637695","59.71306228637695","59.71306228637695"
"60345","60.05550003051758","60.05550003051758","60.05550003051758"
"60961","60.46511459350586","60.46511459350586","60.46511459350586"
"61576","60.750797271728516","60.750797271728516","60.750797271728516"
"62192","61.13219451904297","61.13219451904297","61.13219451904297"
"62808","61.403507232666016","61.403507232666016","61.403507232666016"
"63424","61.64702224731445","61.64702224731445","61.64702224731445"
"64040","61.8996467590332","61.8996467590332","61.8996467590332"
"64655","62.18640899658203","62.18640899658203","62.18640899658203"
"65271","62.468021392822266","62.468021392822266","62.468021392822266"
"65887","62.76643371582031","62.76643371582031","62.76643371582031"
"66502","63.05149841308594","63.05149841308594","63.05149841308594"
"67118","63.32018280029297","63.32018280029297","63.32018280029297"
"67734","63.506080627441406","63.506080627441406","63.506080627441406"
"68350","63.77851104736328","63.77851104736328","63.77851104736328"
"68966","64.07960510253906","64.07960510253906","64.07960510253906"
"69581","64.32295227050781","64.32295227050781","64.32295227050781"
"70197","64.5504150390625","64.5504150390625","64.5504150390625"
"70813","64.83150482177734","64.83150482177734","64.83150482177734"
"71429","65.01168823242188","65.01168823242188","65.01168823242188"
"72045","65.2713394165039","65.2713394165039","65.2713394165039"
"72660","65.4309310913086","65.4309310913086","65.4309310913086"
"73276","65.59774780273438","65.59774780273438","65.59774780273438"
"73892","65.739013671875","65.739013671875","65.739013671875"
"74507","65.84367370605469","65.84367370605469","65.84367370605469"
"75123","66.07727813720703","66.07727813720703","66.07727813720703"
"75739","66.25129699707031","66.25129699707031","66.25129699707031"
"76355","66.4606704711914","66.4606704711914","66.4606704711914"
"76971","66.70499420166016","66.70499420166016","66.70499420166016"
"77586","66.89900207519531","66.89900207519531","66.89900207519531"
"78202","67.10244750976562","67.10244750976562","67.10244750976562"
"78818","67.26591491699219","67.26591491699219","67.26591491699219"
"79434","67.44646453857422","67.44646453857422","67.44646453857422"
"80050","67.6004409790039","67.6004409790039","67.6004409790039"
"80665","67.76042938232422","67.76042938232422","67.76042938232422"
"81281","67.96610260009766","67.96610260009766","67.96610260009766"
"81897","68.17253112792969","68.17253112792969","68.17253112792969"
"82512","68.39217376708984","68.39217376708984","68.39217376708984"
"83128","68.56500244140625","68.56500244140625","68.56500244140625"
"83744","68.7110824584961","68.7110824584961","68.7110824584961"
"84360","68.85131072998047","68.85131072998047","68.85131072998047"
"84976","69.05533599853516","69.05533599853516","69.05533599853516"
"85591","69.26258087158203","69.26258087158203","69.26258087158203"
"86207","69.36587524414062","69.36587524414062","69.36587524414062"
"86823","69.54010009765625","69.54010009765625","69.54010009765625"
"87439","69.68946838378906","69.68946838378906","69.68946838378906"
"88055","69.84587860107422","69.84587860107422","69.84587860107422"
"88670","70.0110855102539","70.0110855102539","70.0110855102539"
"89286","70.12000274658203","70.12000274658203","70.12000274658203"
"89902","70.24720764160156","70.24720764160156","70.24720764160156"
"90517","70.42024230957031","70.42024230957031","70.42024230957031"
"91133","70.55267333984375","70.55267333984375","70.55267333984375"
"91749","70.69298553466797","70.69298553466797","70.69298553466797"
"92365","70.87017059326172","70.87017059326172","70.87017059326172"
"92981","71.01249694824219","71.01249694824219","71.01249694824219"
"93596","71.1639633178711","71.1639633178711","71.1639633178711"
"94212","71.29707336425781","71.29707336425781","71.29707336425781"
"94828","71.44340515136719","71.44340515136719","71.44340515136719"
"95444","71.56114959716797","71.56114959716797","71.56114959716797"
"96060","71.73846435546875","71.73846435546875","71.73846435546875"
"96675","71.89628601074219","71.89628601074219","71.89628601074219"
"97291","71.93815612792969","71.93815612792969","71.93815612792969"
"97907","72.0871810913086","72.0871810913086","72.0871810913086"
"98522","72.25104522705078","72.25104522705078","72.25104522705078"
"99138","72.35013580322266","72.35013580322266","72.35013580322266"
"99754","72.41548919677734","72.41548919677734","72.41548919677734"
"100370","72.53597259521484","72.53597259521484","72.53597259521484"
"100986","72.64957427978516","72.64957427978516","72.64957427978516"
"101601","72.7887191772461","72.7887191772461","72.7887191772461"
"102217","72.90607452392578","72.90607452392578","72.90607452392578"
"102833","73.03145599365234","73.03145599365234","73.03145599365234"
"103449","73.18367004394531","73.18367004394531","73.18367004394531"
"104065","73.32579803466797","73.32579803466797","73.32579803466797"
"104680","73.46441650390625","73.46441650390625","73.46441650390625"
"105296","73.6014175415039","73.6014175415039","73.6014175415039"
"105912","73.7504653930664","73.7504653930664","73.7504653930664"
"106527","73.84941101074219","73.84941101074219","73.84941101074219"
"107143","73.91145324707031","73.91145324707031","73.91145324707031"
"107759","73.95852661132812","73.95852661132812","73.95852661132812"
"108375","74.009765625","74.009765625","74.009765625"
